# GENERATED by .agents/generate.py - do not edit by hand.
#
# The LinkML authoring vocabulary: every metamodel slot you may write in a schema,
# 236 of them. Query it, do not read it. Columns are tab-separated, so anchor
# on the column - a bare `grep basic` also matches every description with that word.
#
#   grep -P '^inlined\t' 900-metaslots.tsv                              # one slot
#   awk -F'\t' '$5 ~ /min|basic/ {print $1}' 900-metaslots.tsv          # everyday slots
#   awk -F'\t' '$2 ~ /class_definition/ {print $1}' 900-metaslots.tsv  # what a class carries
#
# tier: min/basic = commonly used, spec = in the formal specification,
# oo/rel = object-oriented / relational profiles only.
#
# used_on lists only classes declaring a slot directly. Classes also inherit every
# slot of their is_a/mixins ancestors, so class_definition does accept name and
# description even though those are declared on element.
#
# Presence here means the *metamodel* defines it, NOT that linkml-scala implements
# it. Check 200-limitations.md before relying on anything unusual.
#
# slot	used_on	range	cardinality	tier	description
abbreviation	UnitOfMeasure	string	single	-	An abbreviation for a unit is a short ASCII string that is used in place of the full name…
abstract	definition	boolean	single	spec,basic,oo	Indicates the class or slot cannot be directly instantiated and is intended for grouping…
alias	slot_definition,class_definition,dimension_expression	string	single	spec	the name used for a slot in the context of its owning class. If present, this is used ins…
alias_contexts	structured_alias	uri	multi	-	The context in which an alias should be applied
alias_predicate	structured_alias	alias_predicate_enum	single	-	The relationship between an element and its alias.
aliases	common_metadata	string	multi	basic	Alternate names/labels for the element. These do not alter the semantics of the schema, b…
all_members	slot_expression	anonymous_slot_expression	single	spec	the value of the slot is multivalued with all members satisfying the condition
all_of	type_expression,path_expression,slot_expression,+1	expression	single	spec	holds if all of the expressions hold
allowed	extra_slots_expression	boolean	single	spec,basic	Whether or not something is allowed. Usage defined by context.
alt_description_source	alt_description	string	single	basic	the source of an attributed description
alt_description_text	alt_description	string	single,required	basic	text of an attributed description
alt_descriptions	common_metadata	alt_description	multi	basic	A sourced alternative description for an element
annotations	annotatable,annotation	annotation	multi	-	a collection of tag/text tuples with the semantics of OWL Annotation
